Pašvaldība;Pārbaudījums;Izsglītības iestādes nosaukums;Izglītības iestādes, kuras struktūrvienība ir iestāda nosaukums;Vidējais, %;Kārtotāju skaits;0-9%;10-19%;20-29%;30-39%;40-49%;50-59%;60-69%;70-79%;80-89%;90-100%
Aizkraukles novads;Eksāmens angļu valodā (augstākais mācību satura apguves līmenis);Aizkraukles novada vidusskola;;76,4;19;;;;;;2;4;3;9;1
Aizkraukles novads;Eksāmens angļu valodā (optimālais mācību satura apguves līmenis);Aizkraukles novada vidusskola;;74,5;29;;;1;1;1;2;3;6;9;6
Aizkraukles novads;Eksāmens bioloģijā (augstākais mācību satura apguves līmenis);Aizkraukles novada vidusskola;;28,9;9;;2;1;5;1;;;;;
Aizkraukles novads;Eksāmens fizikā (augstākais mācību satura apguves līmenis);Aizkraukles novada vidusskola;;43,6;9;;;2;2;2;2;1;;;
Aizkraukles novads;Eksāmens latviešu valodā (optimālais mācību satura apguves līmenis);Aizkraukles novada vidusskola;;70,8;29;;;;;;7;6;9;6;1
Aizkraukles novads;Eksāmens latviešu valodā un literatūrā (augstākais mācību satura apguves līmenis);Aizkraukles novada vidusskola;;58,6;10;;;;1;;4;3;1;1;
Aizkraukles novads;Eksāmens matemātikā (augstākais mācību satura apguves līmenis);Aizkraukles novada vidusskola;;59,8;14;;1;1;1;1;1;3;4;2;
Aizkraukles novads;Eksāmens matemātikā (optimālais mācību satura apguves līmenis);Aizkraukles novada vidusskola;;44,5;30;;2;7;3;7;5;3;2;;1
Aizkraukles novads;Eksāmens programmēšanā (augstākais mācību satura apguves līmenis);Aizkraukles novada vidusskola;;61,5;2;;;;;;1;;1;;
Aizkraukles novads;Eksāmens sociālajās zinātnēs (augstākais mācību satura apguves līmenis);Aizkraukles novada vidusskola;;37,7;15;;2;1;4;7;;1;;;
Aizkraukles novads;Eksāmens angļu valodā (optimālais mācību satura apguves līmenis);Aizkraukles Profesionālā vidusskola;;45,5;48;1;4;10;6;4;8;8;6;1;
Aizkraukles novads;Eksāmens angļu valodā (profesionālās vidējās izglītības programmās 4. kurss);Aizkraukles Profesionālā vidusskola;;46,5;2;;;;;2;;;;;
Aizkraukles novads;Eksāmens latviešu valodā (optimālais mācību satura apguves līmenis);Aizkraukles Profesionālā vidusskola;;38,4;47;;5;4;16;13;8;;1;;
Aizkraukles novads;Eksāmens latviešu valodā (profesionālās vidējās izglītības programmās 4. kurss);Aizkraukles Profesionālā vidusskola;;31,0;1;;;;1;;;;;;
Aizkraukles novads;Eksāmens matemātikā (optimālais mācību satura apguves līmenis);Aizkraukles Profesionālā vidusskola;;12,5;30;11;13;6;;;;;;;
Aizkraukles novads;Eksāmens matemātikā (profesionālās vidējās izglītības programmās 4. kurss);Aizkraukles Profesionālā vidusskola;;7,7;3;2;1;;;;;;;;
Aizkraukles novads;Eksāmens matemātikā (vispārīgais mācību satura apguves līmenis);Aizkraukles Profesionālā vidusskola;;31,7;11;;1;4;2;3;1;;;;
Aizkraukles novads;Eksāmens angļu valodā (augstākais mācību satura apguves līmenis);Andreja Upīša Skrīveru vidusskola;;72,3;16;;;;;1;1;5;5;3;1
Aizkraukles novads;Eksāmens angļu valodā (optimālais mācību satura apguves līmenis);Andreja Upīša Skrīveru vidusskola;;74,6;21;;;;;2;2;4;4;5;4
Aizkraukles novads;Eksāmens bioloģijā (augstākais mācību satura apguves līmenis);Andreja Upīša Skrīveru vidusskola;;53,0;3;;;;;1;1;1;;;
Aizkraukles novads;Eksāmens fizikā (augstākais mācību satura apguves līmenis);Andreja Upīša Skrīveru vidusskola;;36,8;4;;;1;2;;1;;;;
Aizkraukles novads;Eksāmens latviešu valodā (optimālais mācību satura apguves līmenis);Andreja Upīša Skrīveru vidusskola;;58,4;21;;;;1;7;5;3;2;3;
Aizkraukles novads;Eksāmens latviešu valodā un literatūrā (augstākais mācību satura apguves līmenis);Andreja Upīša Skrīveru vidusskola;;63,0;5;;;;;;3;;2;;
Aizkraukles novads;Eksāmens matemātikā (augstākais mācību satura apguves līmenis);Andreja Upīša Skrīveru vidusskola;;55,6;14;;;;3;3;3;2;1;2;
Aizkraukles novads;Eksāmens matemātikā (optimālais mācību satura apguves līmenis);Andreja Upīša Skrīveru vidusskola;;45,9;20;;2;2;8;1;2;1;2;1;1
Aizkraukles novads;Eksāmens angļu valodā (augstākais mācību satura apguves līmenis);Ilmāra Gaiša Kokneses vidusskola;;56,4;22;;;3;1;5;3;4;2;4;
Aizkraukles novads;Eksāmens angļu valodā (optimālais mācību satura apguves līmenis);Ilmāra Gaiša Kokneses vidusskola;;76,1;17;;;;;2;3;;1;7;4
Aizkraukles novads;Eksāmens bioloģijā (augstākais mācību satura apguves līmenis);Ilmāra Gaiša Kokneses vidusskola;;46,4;10;;;;3;3;2;2;;;
Aizkraukles novads;Eksāmens fizikā (augstākais mācību satura apguves līmenis);Ilmāra Gaiša Kokneses vidusskola;;51,0;1;;;;;;1;;;;
Aizkraukles novads;Eksāmens ķīmijā (augstākais mācību satura apguves līmenis);Ilmāra Gaiša Kokneses vidusskola;;46,0;8;;;;3;2;3;;;;
Aizkraukles novads;Eksāmens latviešu valodā (optimālais mācību satura apguves līmenis);Ilmāra Gaiša Kokneses vidusskola;;62,4;19;;;;4;;4;4;3;3;1
Aizkraukles novads;Eksāmens latviešu valodā un literatūrā (augstākais mācību satura apguves līmenis);Ilmāra Gaiša Kokneses vidusskola;;55,6;16;;;;3;2;5;4;1;1;
Aizkraukles novads;Eksāmens matemātikā (optimālais mācību satura apguves līmenis);Ilmāra Gaiša Kokneses vidusskola;;34,9;24;2;2;6;7;2;2;3;;;
Aizkraukles novads;Eksāmens sociālajās zinātnēs (augstākais mācību satura apguves līmenis);Ilmāra Gaiša Kokneses vidusskola;;35,4;8;;;4;2;;1;1;;;
Aizkraukles novads;Eksāmens angļu valodā (augstākais mācību satura apguves līmenis);Jaunjelgavas vidusskola;;63,3;4;;;;;1;1;;2;;
Aizkraukles novads;Eksāmens angļu valodā (optimālais mācību satura apguves līmenis);Jaunjelgavas vidusskola;;76,0;1;;;;;;;;1;;
Aizkraukles novads;Eksāmens latviešu valodā un literatūrā (augstākais mācību satura apguves līmenis);Jaunjelgavas vidusskola;;56,8;5;;;;;2;1;1;1;;
Aizkraukles novads;Eksāmens matemātikā (optimālais mācību satura apguves līmenis);Jaunjelgavas vidusskola;;33,2;5;;;2;2;1;;;;;
Aizkraukles novads;Eksāmens vēsturē (augstākais mācību satura apguves līmenis);Jaunjelgavas vidusskola;;43,0;1;;;;;1;;;;;
Aizkraukles novads;Eksāmens angļu valodā (augstākais mācību satura apguves līmenis);Neretas Jāņa Jaunsudrabiņa vidusskola;;55,0;11;;;;2;3;2;1;3;;
Aizkraukles novads;Eksāmens angļu valodā (optimālais mācību satura apguves līmenis);Neretas Jāņa Jaunsudrabiņa vidusskola;;64,3;7;;;1;;;1;2;2;1;
Aizkraukles novads;Eksāmens bioloģijā (augstākais mācību satura apguves līmenis);Neretas Jāņa Jaunsudrabiņa vidusskola;;43,0;2;;;1;;;;1;;;
Aizkraukles novads;Eksāmens latviešu valodā (optimālais mācību satura apguves līmenis);Neretas Jāņa Jaunsudrabiņa vidusskola;;62,2;17;;;;;5;2;3;6;1;
Aizkraukles novads;Eksāmens latviešu valodā un literatūrā (augstākais mācību satura apguves līmenis);Neretas Jāņa Jaunsudrabiņa vidusskola;;65,0;1;;;;;;;1;;;
Aizkraukles novads;Eksāmens matemātikā (optimālais mācību satura apguves līmenis);Neretas Jāņa Jaunsudrabiņa vidusskola;;29,2;11;;3;5;1;1;;1;;;
Aizkraukles novads;Eksāmens sociālajās zinātnēs (augstākais mācību satura apguves līmenis);Neretas Jāņa Jaunsudrabiņa vidusskola;;35,8;8;;1;1;4;;1;1;;;
Aizkraukles novads;Eksāmens angļu valodā (augstākais mācību satura apguves līmenis);Pļaviņu vidusskola;;68,6;11;;;;;1;2;2;2;4;
Aizkraukles novads;Eksāmens angļu valodā (optimālais mācību satura apguves līmenis);Pļaviņu vidusskola;;68,5;17;;;;1;3;2;2;2;5;2
Aizkraukles novads;Eksāmens bioloģijā (augstākais mācību satura apguves līmenis);Pļaviņu vidusskola;;70,5;2;;;;;;;1;1;;
Aizkraukles novads;Eksāmens latviešu valodā (optimālais mācību satura apguves līmenis);Pļaviņu vidusskola;;64,6;9;;;1;;;1;3;3;1;
Aizkraukles novads;Eksāmens latviešu valodā un literatūrā (augstākais mācību satura apguves līmenis);Pļaviņu vidusskola;;53,7;7;;;;1;2;2;;2;;
Aizkraukles novads;Eksāmens matemātikā (augstākais mācību satura apguves līmenis);Pļaviņu vidusskola;;34,2;9;;2;;4;2;1;;;;
Aizkraukles novads;Eksāmens matemātikā (optimālais mācību satura apguves līmenis);Pļaviņu vidusskola;;33,8;24;2;3;9;4;2;2;1;;;1
Aizkraukles novads;Eksāmens sociālajās zinātnēs (augstākais mācību satura apguves līmenis);Pļaviņu vidusskola;;35,6;5;;;2;1;1;1;;;;
Alūksnes novads;Eksāmens angļu valodā (optimālais mācību satura apguves līmenis);Alūksnes novada vidusskola;;53,4;19;;2;1;2;4;1;3;4;2;
Alūksnes novads;Eksāmens dizainā un tehnoloģijās (augstākais mācību satura apguves līmenis);Alūksnes novada vidusskola;;54,7;23;;;;1;4;11;6;1;;
Alūksnes novads;Eksāmens ģeogrāfijā (augstākais mācību satura apguves līmenis;Alūksnes novada vidusskola;;29,5;20;;1;9;9;1;;;;;
Alūksnes novads;Eksāmens latviešu valodā (optimālais mācību satura apguves līmenis);Alūksnes novada vidusskola;;55,3;19;;;2;1;4;4;4;3;;1
Alūksnes novads;Eksāmens matemātikā (augstākais mācību satura apguves līmenis);Alūksnes novada vidusskola;;25,4;5;;1;3;1;;;;;;
Alūksnes novads;Eksāmens matemātikā (optimālais mācību satura apguves līmenis);Alūksnes novada vidusskola;;19,6;20;3;7;6;2;2;;;;;
Alūksnes novads;Eksāmens sociālajās zinātnēs (augstākais mācību satura apguves līmenis);Alūksnes novada vidusskola;;35,8;6;;;1;3;1;1;;;;
Alūksnes novads;Eksāmens angļu valodā (augstākais mācību satura apguves līmenis);Ernsta Glika Alūksnes Valsts ģimnāzija;;78,2;18;;;;;;1;3;3;10;1
Alūksnes novads;Eksāmens angļu valodā (optimālais mācību satura apguves līmenis);Ernsta Glika Alūksnes Valsts ģimnāzija;;74,9;35;;1;;1;;2;7;6;13;5
Alūksnes novads;Eksāmens bioloģijā (augstākais mācību satura apguves līmenis);Ernsta Glika Alūksnes Valsts ģimnāzija;;49,8;6;;;;1;3;;2;;;
Alūksnes novads;Eksāmens fizikā (augstākais mācību satura apguves līmenis);Ernsta Glika Alūksnes Valsts ģimnāzija;;35,5;2;;;1;;1;;;;;
Alūksnes novads;Eksāmens ķīmijā (augstākais mācību satura apguves līmenis);Ernsta Glika Alūksnes Valsts ģimnāzija;;72,0;1;;;;;;;;1;;
Alūksnes novads;Eksāmens latviešu valodā (optimālais mācību satura apguves līmenis);Ernsta Glika Alūksnes Valsts ģimnāzija;;66,2;34;;;;;3;8;10;9;3;1
Alūksnes novads;Eksāmens latviešu valodā un literatūrā (augstākais mācību satura apguves līmenis);Ernsta Glika Alūksnes Valsts ģimnāzija;;67,8;6;;;;;;1;2;3;;
Alūksnes novads;Eksāmens matemātikā (augstākais mācību satura apguves līmenis);Ernsta Glika Alūksnes Valsts ģimnāzija;;54,3;12;;;1;2;2;3;2;;2;
Alūksnes novads;Eksāmens matemātikā (optimālais mācību satura apguves līmenis);Ernsta Glika Alūksnes Valsts ģimnāzija;;44,6;35;;4;7;8;2;4;1;8;1;
Alūksnes novads;Eksāmens vēsturē (augstākais mācību satura apguves līmenis);Ernsta Glika Alūksnes Valsts ģimnāzija;;54,0;7;;;1;;1;2;2;1;;
Augšdaugavas novads;Eksāmens angļu valodā (optimālais mācību satura apguves līmenis);Bebrenes vispārizglītojošā un profesionālā vidusskola;;38,8;16;;3;5;2;1;1;1;2;1;
Augšdaugavas novads;Eksāmens latviešu valodā (optimālais mācību satura apguves līmenis);Bebrenes vispārizglītojošā un profesionālā vidusskola;;44,7;16;;;5;1;3;4;2;1;;
Augšdaugavas novads;Eksāmens matemātikā (optimālais mācību satura apguves līmenis);Bebrenes vispārizglītojošā un profesionālā vidusskola;;20,9;16;;8;7;1;;;;;;
Augšdaugavas novads;Eksāmens angļu valodā (augstākais mācību satura apguves līmenis);Ilūkstes Raiņa vidusskola;;66,2;13;;;;;;2;8;2;1;
Augšdaugavas novads;Eksāmens angļu valodā (optimālais mācību satura apguves līmenis);Ilūkstes Raiņa vidusskola;;61,5;24;;;2;;6;4;3;4;2;3
Augšdaugavas novads;Eksāmens bioloģijā (augstākais mācību satura apguves līmenis);Ilūkstes Raiņa vidusskola;;47,8;9;;;;2;1;6;;;;
Augšdaugavas novads;Eksāmens fizikā (augstākais mācību satura apguves līmenis);Ilūkstes Raiņa vidusskola;;35,7;3;;;;2;1;;;;;
Augšdaugavas novads;Eksāmens latviešu valodā (optimālais mācību satura apguves līmenis);Ilūkstes Raiņa vidusskola;;55,0;23;;;1;2;5;8;4;2;1;
Augšdaugavas novads;Eksāmens latviešu valodā un literatūrā (augstākais mācību satura apguves līmenis);Ilūkstes Raiņa vidusskola;;64,7;7;;;;;;3;2;1;1;
Augšdaugavas novads;Eksāmens matemātikā (augstākais mācību satura apguves līmenis);Ilūkstes Raiņa vidusskola;;46,6;20;;1;3;4;3;5;2;1;1;
Augšdaugavas novads;Eksāmens matemātikā (optimālais mācību satura apguves līmenis);Ilūkstes Raiņa vidusskola;;50,4;24;;1;1;4;7;4;3;2;2;
Augšdaugavas novads;Eksāmens sociālajās zinātnēs (augstākais mācību satura apguves līmenis);Ilūkstes Raiņa vidusskola;;40,6;8;;;1;4;2;;1;;;
Augšdaugavas novads;Eksāmens angļu valodā (optimālais mācību satura apguves līmenis);Salienas vidusskola;;52,7;7;;;;;2;5;;;;
Augšdaugavas novads;Eksāmens latviešu valodā (optimālais mācību satura apguves līmenis);Salienas vidusskola;;54,3;8;;;;;3;2;3;;;
Augšdaugavas novads;Eksāmens latviešu valodā un literatūrā (augstākais mācību satura apguves līmenis);Salienas vidusskola;;56,3;7;;;;;2;2;3;;;
Augšdaugavas novads;Eksāmens matemātikā (optimālais mācību satura apguves līmenis);Salienas vidusskola;;63,3;7;;;;;2;1;1;3;;
Augšdaugavas novads;Eksāmens vēsturē (augstākais mācību satura apguves līmenis);Salienas vidusskola;;42,3;7;;;;2;5;;;;;
Augšdaugavas novads;Eksāmens angļu valodā (augstākais mācību satura apguves līmenis);Sventes vidusskola;;43,8;4;;;;2;;1;1;;;
Augšdaugavas novads;Eksāmens angļu valodā (optimālais mācību satura apguves līmenis);Sventes vidusskola;;34,6;22;1;2;6;4;5;4;;;;
Augšdaugavas novads;Eksāmens latviešu valodā (optimālais mācību satura apguves līmenis);Sventes vidusskola;;60,0;1;;;;;;;1;;;
Augšdaugavas novads;Eksāmens latviešu valodā un literatūrā (augstākais mācību satura apguves līmenis);Sventes vidusskola;;43,3;22;;;1;7;7;5;2;;;
Augšdaugavas novads;Eksāmens matemātikā (optimālais mācību satura apguves līmenis);Sventes vidusskola;;31,5;22;2;3;5;5;3;4;;;;
Augšdaugavas novads;Eksāmens sociālajās zinātnēs (augstākais mācību satura apguves līmenis);Sventes vidusskola;;29,4;16;;2;8;5;1;;;;;
Augšdaugavas novads;Eksāmens angļu valodā (augstākais mācību satura apguves līmenis);Špoģu vidusskola;;52,3;3;;;;1;;1;;1;;
Augšdaugavas novads;Eksāmens angļu valodā (optimālais mācību satura apguves līmenis);Špoģu vidusskola;;41,6;11;;1;;4;3;2;;1;;
Augšdaugavas novads;Eksāmens bioloģijā (augstākais mācību satura apguves līmenis);Špoģu vidusskola;;44,8;11;;1;2;1;1;4;2;;;
Augšdaugavas novads;Eksāmens ģeogrāfijā (augstākais mācību satura apguves līmenis;Špoģu vidusskola;;32,9;10;;1;3;3;3;;;;;
Augšdaugavas novads;Eksāmens latviešu valodā (optimālais mācību satura apguves līmenis);Špoģu vidusskola;;48,4;13;;;1;3;2;4;2;1;;
Augšdaugavas novads;Eksāmens matemātikā (optimālais mācību satura apguves līmenis);Špoģu vidusskola;;42,7;32;1;5;4;4;5;6;4;2;1;
Augšdaugavas novads;Eksāmens sociālajās zinātnēs (augstākais mācību satura apguves līmenis);Špoģu vidusskola;;32,6;18;;;9;6;1;1;1;;;
Augšdaugavas novads;Eksāmens angļu valodā (optimālais mācību satura apguves līmenis);Vaboles vidusskola;;55,5;6;;;1;;1;2;;1;;1
Augšdaugavas novads;Eksāmens bioloģijā (augstākais mācību satura apguves līmenis);Vaboles vidusskola;;24,2;5;;1;4;;;;;;;
Augšdaugavas novads;Eksāmens fizikā (augstākais mācību satura apguves līmenis);Vaboles vidusskola;;62,0;1;;;;;;;1;;;
Augšdaugavas novads;Eksāmens latviešu valodā un literatūrā (augstākais mācību satura apguves līmenis);Vaboles vidusskola;;58,8;6;;;;1;1;2;;;2;
Augšdaugavas novads;Eksāmens matemātikā (optimālais mācību satura apguves līmenis);Vaboles vidusskola;;39,0;6;;;3;2;;;;;1;
Augšdaugavas novads;Eksāmens angļu valodā (optimālais mācību satura apguves līmenis);Zemgales vidusskola;;63,375;8;;;;;1;2;3;1;1;
Augšdaugavas novads;Eksāmens bioloģijā (augstākais mācību satura apguves līmenis);Zemgales vidusskola;;37,7;3;;;;1;2;;;;;
Augšdaugavas novads;Eksāmens latviešu valodā (optimālais mācību satura apguves līmenis);Zemgales vidusskola;;41;3;;;1;;1;1;;;;
Augšdaugavas novads;Eksāmens matemātikā (optimālais mācību satura apguves līmenis);Zemgales vidusskola;;46;3;;;;1;1;1;;;;
Augšdaugavas novads;Eksāmens vēsturē (augstākais mācību satura apguves līmenis);Zemgales vidusskola;;24,3;3;;;3;;;;;;;
Ādažu novads;Eksāmens angļu valodā (augstākais mācību satura apguves līmenis);Ādažu vidusskola;;65,1;28;;;2;1;4;4;4;6;4;3
Ādažu novads;Eksāmens angļu valodā (optimālais mācību satura apguves līmenis);Ādažu vidusskola;;71,3;52;;;1;1;2;9;7;12;16;4
Ādažu novads;Eksāmens bioloģijā (augstākais mācību satura apguves līmenis);Ādažu vidusskola;;52,1;11;;;;1;3;5;2;;;
Ādažu novads;Eksāmens dizainā un tehnoloģijās (augstākais mācību satura apguves līmenis);Ādažu vidusskola;;69,5;15;;;;;1;1;4;5;4;
Ādažu novads;Eksāmens fizikā (augstākais mācību satura apguves līmenis);Ādažu vidusskola;;38,5;12;;;3;2;6;1;;;;
Ādažu novads;Eksāmens ķīmijā (augstākais mācību satura apguves līmenis);Ādažu vidusskola;;49,9;7;;;1;1;2;1;1;;1;
Ādažu novads;Eksāmens latviešu valodā (optimālais mācību satura apguves līmenis);Ādažu vidusskola;;60,0;68;;3;;2;10;20;13;12;8;
Ādažu novads;Eksāmens latviešu valodā un literatūrā (augstākais mācību satura apguves līmenis);Ādažu vidusskola;;62,5;17;;;;;3;5;3;5;1;
Ādažu novads;Eksāmens matemātikā (augstākais mācību satura apguves līmenis);Ādažu vidusskola;;56,5;31;;1;3;2;6;4;5;5;5;
Ādažu novads;Eksāmens matemātikā (optimālais mācību satura apguves līmenis);Ādažu vidusskola;;46,1;82;;6;12;18;12;10;13;8;2;1
Ādažu novads;Eksāmens sociālajās zinātnēs (augstākais mācību satura apguves līmenis);Ādažu vidusskola;;42,1;8;;;2;1;2;2;1;;;
Ādažu novads;Eksāmens angļu valodā (augstākais mācību satura apguves līmenis);Privātā vidusskola Ādažu Brīvā Valdorfa skola;;66,6;8;;;;;1;1;3;1;2;
Ādažu novads;Eksāmens kultūrā un mākslā (augstākais mācību satura apguves līmenis);Privātā vidusskola Ādažu Brīvā Valdorfa skola;;47,0;1;;;;;1;;;;;
Ādažu novads;Eksāmens latviešu valodā (optimālais mācību satura apguves līmenis);Privātā vidusskola Ādažu Brīvā Valdorfa skola;;61,0;12;;;;;;5;6;1;;
Ādažu novads;Eksāmens matemātikā (augstākais mācību satura apguves līmenis);Privātā vidusskola Ādažu Brīvā Valdorfa skola;;43,0;2;;;;1;1;;;;;
Ādažu novads;Eksāmens matemātikā (optimālais mācību satura apguves līmenis);Privātā vidusskola Ādažu Brīvā Valdorfa skola;;27,0;9;;3;3;2;;;1;;;
Ādažu novads;Eksāmens sociālajās zinātnēs (augstākais mācību satura apguves līmenis);Privātā vidusskola Ādažu Brīvā Valdorfa skola;;52,4;5;;;;;1;4;;;;
Ādažu novads;Eksāmens vēsturē (augstākais mācību satura apguves līmenis);Privātā vidusskola Ādažu Brīvā Valdorfa skola;;45,0;3;;;1;;1;1;;;;
Balvu novads;Eksāmens angļu valodā (optimālais mācību satura apguves līmenis);Baltinavas vidusskola;;44,3;3;;;;;3;;;;;
Balvu novads;Eksāmens kultūrā un mākslā (augstākais mācību satura apguves līmenis);Baltinavas vidusskola;;36,4;5;;;;4;;1;;;;
Balvu novads;Eksāmens latviešu valodā (optimālais mācību satura apguves līmenis);Baltinavas vidusskola;;55,0;5;;;;1;;3;1;;;
Balvu novads;Eksāmens matemātikā (optimālais mācību satura apguves līmenis);Baltinavas vidusskola;;20,0;5;;2;3;;;;;;;
Balvu novads;Eksāmens sociālajās zinātnēs (augstākais mācību satura apguves līmenis);Baltinavas vidusskola;;32,8;5;;;1;2;2;;;;;
Balvu novads;Eksāmens angļu valodā (augstākais mācību satura apguves līmenis);Balvu profesionālā un vispārizglītojošā vidusskola;;58,6;11;;;1;2;1;1;2;3;1;
Balvu novads;Eksāmens angļu valodā (optimālais mācību satura apguves līmenis);Balvu profesionālā un vispārizglītojošā vidusskola;;47,3;36;;3;3;10;4;6;2;6;2;
Balvu novads;Eksāmens bioloģijā (augstākais mācību satura apguves līmenis);Balvu profesionālā un vispārizglītojošā vidusskola;;20,5;6;1;2;2;1;;;;;;
Balvu novads;Eksāmens dizainā un tehnoloģijās (augstākais mācību satura apguves līmenis);Balvu profesionālā un vispārizglītojošā vidusskola;;55,2;5;;;;;2;2;;1;;
Balvu novads;Eksāmens latviešu valodā (optimālais mācību satura apguves līmenis);Balvu profesionālā un vispārizglītojošā vidusskola;;48,0;36;;;4;5;13;7;6;;1;
Balvu novads;Eksāmens latviešu valodā un literatūrā (augstākais mācību satura apguves līmenis);Balvu profesionālā un vispārizglītojošā vidusskola;;51,7;10;;;;2;2;3;3;;;
Balvu novads;Eksāmens matemātikā (optimālais mācību satura apguves līmenis);Balvu profesionālā un vispārizglītojošā vidusskola;;14,5;20;8;7;4;1;;;;;;
Balvu novads;Eksāmens matemātikā (vispārīgais mācību satura apguves līmenis);Balvu profesionālā un vispārizglītojošā vidusskola;;25,5;6;1;1;3;;;1;;;;
Balvu novads;Eksāmens angļu valodā (optimālais mācību satura apguves līmenis);Balvu Valsts ģimnāzija;;71,9;40;;;;;4;4;7;12;10;3
Balvu novads;Eksāmens bioloģijā (augstākais mācību satura apguves līmenis);Balvu Valsts ģimnāzija;;54,7;11;;;;1;3;2;4;1;;
Balvu novads;Eksāmens fizikā (augstākais mācību satura apguves līmenis);Balvu Valsts ģimnāzija;;30,3;4;;1;2;;;1;;;;
Balvu novads;Eksāmens kultūrā un mākslā (augstākais mācību satura apguves līmenis);Balvu Valsts ģimnāzija;;40,5;2;;;;;2;;;;;
Balvu novads;Eksāmens latviešu valodā (optimālais mācību satura apguves līmenis);Balvu Valsts ģimnāzija;;59,4;20;;;;3;3;3;5;5;1;
Balvu novads;Eksāmens latviešu valodā un literatūrā (augstākais mācību satura apguves līmenis);Balvu Valsts ģimnāzija;;64,7;23;;;;;2;5;9;2;5;
Balvu novads;Eksāmens matemātikā (augstākais mācību satura apguves līmenis);Balvu Valsts ģimnāzija;;53,4;11;;;1;3;3;;;1;3;
Balvu novads;Eksāmens matemātikā (optimālais mācību satura apguves līmenis);Balvu Valsts ģimnāzija;;28,5;40;;13;11;6;6;4;;;;
Balvu novads;Eksāmens programmēšanā (augstākais mācību satura apguves līmenis);Balvu Valsts ģimnāzija;;56,5;2;;;;;1;;1;;;
Balvu novads;Eksāmens sociālajās zinātnēs (augstākais mācību satura apguves līmenis);Balvu Valsts ģimnāzija;;45,7;15;;1;;4;5;3;1;1;;
Balvu novads;Eksāmens angļu valodā (augstākais mācību satura apguves līmenis);Rekavas vidusskola;;66,3;4;;;;;;1;1;2;;
Balvu novads;Eksāmens angļu valodā (optimālais mācību satura apguves līmenis);Rekavas vidusskola;;63,8;6;;;;1;1;1;;;3;
Balvu novads;Eksāmens ģeogrāfijā (augstākais mācību satura apguves līmenis;Rekavas vidusskola;;43,0;9;;;;3;4;1;1;;;
Balvu novads;Eksāmens latviešu valodā un literatūrā (augstākais mācību satura apguves līmenis);Rekavas vidusskola;;53,1;13;;;1;;6;2;2;2;;
Balvu novads;Eksāmens matemātikā (optimālais mācību satura apguves līmenis);Rekavas vidusskola;;33,9;13;;4;2;2;3;1;;1;;
Balvu novads;Eksāmens angļu valodā (augstākais mācību satura apguves līmenis);Rugāju vidusskola;;68,1;9;;;;;1;2;1;3;2;
Balvu novads;Eksāmens angļu valodā (optimālais mācību satura apguves līmenis);Rugāju vidusskola;;62,8;12;;;;2;3;;2;1;2;2
Balvu novads;Eksāmens bioloģijā (augstākais mācību satura apguves līmenis);Rugāju vidusskola;;38,3;7;;;2;2;1;2;;;;
Balvu novads;Eksāmens latviešu valodā (optimālais mācību satura apguves līmenis);Rugāju vidusskola;;62,8;12;;;;;2;4;2;2;2;
Balvu novads;Eksāmens latviešu valodā un literatūrā (augstākais mācību satura apguves līmenis);Rugāju vidusskola;;66,1;10;;;;;;3;3;2;2;
Balvu novads;Eksāmens matemātikā (augstākais mācību satura apguves līmenis);Rugāju vidusskola;;68,0;1;;;;;;;1;;;
Balvu novads;Eksāmens matemātikā (optimālais mācību satura apguves līmenis);Rugāju vidusskola;;43,8;13;;;2;4;4;1;;1;1;
Balvu novads;Eksāmens programmēšanā (augstākais mācību satura apguves līmenis);Rugāju vidusskola;;20,0;1;;;1;;;;;;;
Balvu novads;Eksāmens sociālajās zinātnēs (augstākais mācību satura apguves līmenis);Rugāju vidusskola;;46,0;2;;;;1;;1;;;;
Balvu novads;Eksāmens angļu valodā (augstākais mācību satura apguves līmenis);Viļakas Valsts ģimnāzija;;57,3;3;;;1;;;;;2;;
Balvu novads;Eksāmens angļu valodā (optimālais mācību satura apguves līmenis);Viļakas Valsts ģimnāzija;;56,0;4;;;;;1;2;1;;;
Balvu novads;Eksāmens dizainā un tehnoloģijās (augstākais mācību satura apguves līmenis);Viļakas Valsts ģimnāzija;;54,4;5;;;;;1;2;2;;;
Balvu novads;Eksāmens latviešu valodā un literatūrā (augstākais mācību satura apguves līmenis);Viļakas Valsts ģimnāzija;;54,8;8;;;;;1;5;2;;;
Balvu novads;Eksāmens matemātikā (optimālais mācību satura apguves līmenis);Viļakas Valsts ģimnāzija;;17,5;2;1;;1;;;;;;;
Bauskas novads;Eksāmens angļu valodā (augstākais mācību satura apguves līmenis);Bauskas 2. vidusskola;;46,7;53;;5;10;8;4;6;13;4;3;
Bauskas novads;Eksāmens angļu valodā (optimālais mācību satura apguves līmenis);Bauskas 2. vidusskola;;61,5;2;;;;1;;;;;;1
Bauskas novads;Eksāmens bioloģijā (augstākais mācību satura apguves līmenis);Bauskas 2. vidusskola;;28,3;16;;2;8;4;2;;;;;
Bauskas novads;Eksāmens ķīmijā (augstākais mācību satura apguves līmenis);Bauskas 2. vidusskola;;26,0;1;;;1;;;;;;;
Bauskas novads;Eksāmens latviešu valodā (optimālais mācību satura apguves līmenis);Bauskas 2. vidusskola;;61,1;34;;;;1;6;8;11;6;2;
